sample_dir,prompt_label,prompt_tokens,layer,kind,shape,dtype,nbytes,n_features,n_samples,components_90,components_95,components_99,top1_variance,top4_variance,explained_variance_ratio
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,1x8x3095x64,float16,3169280,64,24760,38,44,57,0.15626083314418793,0.43280190229415894,"[0.15626083314418793, 0.12533019483089447, 0.10101135075092316, 0.050199493765830994, 0.0422045923769474, 0.02470882050693035, 0.02288367785513401, 0.02284792996942997, 0.021297473460435867, 0.017178833484649658, 0.016024280339479446, 0.015733398497104645, 0.014387222006917, 0.013645436614751816, 0.013610330410301685, 0.012960491701960564, 0.012746347114443779, 0.012645809911191463, 0.01194145530462265, 0.011887194588780403, 0.01140984334051609, 0.011210039258003235, 0.011181575246155262, 0.010965820401906967, 0.010406753979623318, 0.010361766442656517, 0.010270742699503899, 0.010156805627048016, 0.010059291496872902, 0.010037115775048733, 0.00989985466003418, 0.009895681403577328, 0.009800300002098083, 0.009783362038433552, 0.009765350259840488, 0.009717482142150402, 0.009398488327860832, 0.008917514234781265, 0.008886659517884254, 0.008693337440490723, 0.008655310608446598, 0.00836775079369545, 0.006867017596960068, 0.005941037554293871, 0.005256975069642067, 0.004564151167869568, 0.00401731114834547, 0.003481149673461914, 0.003219881094992161, 0.0030448101460933685, 0.0029263372998684645, 0.0026581138372421265, 0.0024887064937502146, 0.0023701952304691076, 0.0021439867559820414, 0.0020257686264812946, 0.0018557189032435417, 0.0016834840644150972, 0.001645232317969203, 0.0015512451063841581, 0.0014061687979847193, 0.001231333357281983, 0.0011864015832543373, 0.0010889325058087707]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,1x8x3095x64,float16,3169280,64,24760,45,53,61,0.12349384278059006,0.2621768116950989,"[0.12349384278059006, 0.05096803233027458, 0.04736126959323883, 0.0403536856174469, 0.0321948416531086, 0.029949385672807693, 0.028487861156463623, 0.026241635903716087, 0.02419229969382286, 0.023734241724014282, 0.023058418184518814, 0.022045187652111053, 0.021290872246026993, 0.01999027095735073, 0.01979266107082367, 0.01920321024954319, 0.018624110147356987, 0.01818716712296009, 0.017715085297822952, 0.016908012330532074, 0.016708452254533768, 0.015405450016260147, 0.015229779295623302, 0.014875990338623524, 0.014041827991604805, 0.013690175488591194, 0.013103576377034187, 0.012832475826144218, 0.012423785403370857, 0.012134677730500698, 0.011464564129710197, 0.01100935973227024, 0.010744296945631504, 0.010471642948687077, 0.01020516362041235, 0.010054151527583599, 0.009792661294341087, 0.00918453186750412, 0.008845899254083633, 0.008489641360938549, 0.008283347822725773, 0.008141439408063889, 0.007817568257451057, 0.007703042589128017, 0.007587841246277094, 0.007213577628135681, 0.0071338629350066185, 0.006724441424012184, 0.006542957853525877, 0.006239905022084713, 0.005805961787700653, 0.005605421029031277, 0.005323050543665886, 0.005311120301485062, 0.004870752803981304, 0.004683788865804672, 0.004526243079453707, 0.004390348680317402, 0.004274387843906879, 0.0040804841555655, 0.00388072757050395, 0.0034499852918088436, 0.0033003445714712143, 0.0026092075277119875]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,1x8x3095x64,float16,3169280,64,24760,37,45,58,0.1546206772327423,0.37719571590423584,"[0.1546206772327423, 0.10486912727355957, 0.065923310816288, 0.051782600581645966, 0.038770414888858795, 0.03517840430140495, 0.03515603020787239, 0.034184712916612625, 0.01851062662899494, 0.016039852052927017, 0.016023021191358566, 0.015299332328140736, 0.015221493318676949, 0.01513752993196249, 0.015091382898390293, 0.015060698613524437, 0.015000131912529469, 0.014004199765622616, 0.013930882327258587, 0.013739473186433315, 0.013682710938155651, 0.013673911802470684, 0.01365907583385706, 0.013615697622299194, 0.013521875254809856, 0.013273324817419052, 0.01319366879761219, 0.013138219714164734, 0.013104652054607868, 0.011358627118170261, 0.010509216226637363, 0.010238963179290295, 0.0101099144667387, 0.009658005088567734, 0.009434420615434647, 0.009138595312833786, 0.008814073167741299, 0.008774090558290482, 0.007363495416939259, 0.006154979113489389, 0.0056647807359695435, 0.005412592552602291, 0.004853928927332163, 0.004624993074685335, 0.004554745275527239, 0.004352545365691185, 0.0038680899888277054, 0.0036790920421481133, 0.0035050734877586365, 0.0032322979532182217, 0.0030861427076160908, 0.002945682965219021, 0.0028787022456526756, 0.002810426987707615, 0.0026575697120279074, 0.002353410003706813, 0.002169291954487562, 0.0019718685653060675, 0.0019365411717444658, 0.0016945581883192062, 0.0015896288678050041, 0.001521588652394712, 0.0014013920444995165, 0.0012736298376694322]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,1x8x3095x64,float16,3169280,64,24760,47,54,62,0.060822904109954834,0.20898079872131348,"[0.060822904109954834, 0.05753396451473236, 0.049555759876966476, 0.041068173944950104, 0.037089753895998, 0.03465554490685463, 0.030201399698853493, 0.029631925746798515, 0.024967391043901443, 0.023824678733944893, 0.023380067199468613, 0.022344360128045082, 0.022183388471603394, 0.021082662045955658, 0.01969413459300995, 0.019347047433257103, 0.018705325201153755, 0.018335597589612007, 0.017461834475398064, 0.017311062663793564, 0.016686374321579933, 0.01624782755970955, 0.015335315838456154, 0.014565999619662762, 0.014402387663722038, 0.014112073928117752, 0.013606501743197441, 0.013094988651573658, 0.012812417931854725, 0.01264614425599575, 0.012148496694862843, 0.011983080767095089, 0.011583782732486725, 0.011459899134933949, 0.011120404116809368, 0.010794478468596935, 0.010497618466615677, 0.010065708309412003, 0.009760141372680664, 0.009563528001308441, 0.009381361305713654, 0.009225966408848763, 0.008895198814570904, 0.008651992306113243, 0.008329915814101696, 0.008083208464086056, 0.007868018932640553, 0.007625227328389883, 0.00739085441455245, 0.007304617203772068, 0.00703957537189126, 0.006860517896711826, 0.006505540106445551, 0.0064148204401135445, 0.005956684704869986, 0.005868189502507448, 0.005519326776266098, 0.005439380183815956, 0.004910249728709459, 0.004607502371072769, 0.004489083308726549, 0.004389497917145491, 0.004021091386675835, 0.0035380234476178885]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,1x8x3095x64,float16,3169280,64,24760,39,47,59,0.1265276074409485,0.3634053170681,"[0.1265276074409485, 0.10028547793626785, 0.08612067997455597, 0.050471581518650055, 0.0429537259042263, 0.03772105276584625, 0.029762862250208855, 0.01728108339011669, 0.017236653715372086, 0.016843711957335472, 0.01676878333091736, 0.016396021470427513, 0.01637941040098667, 0.016239818185567856, 0.016180451959371567, 0.01597708836197853, 0.01590600237250328, 0.015266659669578075, 0.015196389518678188, 0.015120434574782848, 0.015026122331619263, 0.014229154214262962, 0.014223599806427956, 0.013063399121165276, 0.013035153970122337, 0.0127613116055727, 0.012696695514023304, 0.011841482482850552, 0.011526007205247879, 0.011392190121114254, 0.011381132528185844, 0.011104731820523739, 0.010988578200340271, 0.010430057533085346, 0.010397310368716717, 0.00953166838735342, 0.009406388737261295, 0.009249599650502205, 0.008775921538472176, 0.007892119698226452, 0.007006690371781588, 0.0066122435964643955, 0.006302245892584324, 0.005629994440823793, 0.00529141491279006, 0.004841265734285116, 0.004433893598616123, 0.004112337250262499, 0.004053940065205097, 0.00390839297324419, 0.00370409176684916, 0.0033299641218036413, 0.0030338771175593138, 0.0029938165098428726, 0.0029455008916556835, 0.002612707670778036, 0.0025581929367035627, 0.002380599034950137, 0.002191606443375349, 0.0020779939368367195, 0.0018418339313939214, 0.001676754793152213, 0.001635522348806262, 0.001236958778463304]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,value,1x8x3095x64,float16,3169280,64,24760,46,54,62,0.07282223552465439,0.22782643139362335,"[0.07282223552465439, 0.06160375103354454, 0.05208925902843475, 0.04131118953227997, 0.03920700028538704, 0.03779411315917969, 0.03211882710456848, 0.029032308608293533, 0.028246968984603882, 0.02532033436000347, 0.02367740496993065, 0.02327415719628334, 0.021637726575136185, 0.021322976797819138, 0.019373632967472076, 0.018695944920182228, 0.01837700419127941, 0.017634598538279533, 0.017394497990608215, 0.016250768676400185, 0.015898801386356354, 0.015230071730911732, 0.014441890642046928, 0.01397770643234253, 0.013667571358382702, 0.013106406666338444, 0.01254129409790039, 0.012475628405809402, 0.012217049486935139, 0.011808223091065884, 0.011712630279362202, 0.01140101719647646, 0.010792764835059643, 0.010746384039521217, 0.010657742619514465, 0.010161570273339748, 0.00977568980306387, 0.009578531607985497, 0.009319846518337727, 0.00900606531649828, 0.008670229464769363, 0.008496024645864964, 0.00814314465969801, 0.007811101619154215, 0.007595566101372242, 0.007372077088803053, 0.006971267051994801, 0.0069517274387180805, 0.006649643182754517, 0.006303979549556971, 0.006188387982547283, 0.005931198131293058, 0.005730798002332449, 0.0056683337315917015, 0.005594378802925348, 0.0053840032778680325, 0.0050912052392959595, 0.004935697186738253, 0.004699995741248131, 0.00447083031758666, 0.004195823334157467, 0.0040512983687222, 0.003745070192962885, 0.0036465905141085386]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,key,1x8x3095x64,float16,3169280,64,24760,33,39,53,0.21642456948757172,0.4682317078113556,"[0.21642456948757172, 0.1310025006532669, 0.07595141232013702, 0.044853247702121735, 0.037122517824172974, 0.025974702090024948, 0.02056737430393696, 0.019860852509737015, 0.019837865605950356, 0.014530968852341175, 0.0144934868440032, 0.014341459609568119, 0.014245584607124329, 0.014012721367180347, 0.01393701322376728, 0.013766258023679256, 0.013682403601706028, 0.01344449631869793, 0.013424575328826904, 0.013319802470505238, 0.013194429688155651, 0.013108108192682266, 0.013025783933699131, 0.01269811112433672, 0.012680398300290108, 0.012485610321164131, 0.01232142373919487, 0.012088567949831486, 0.012082402594387531, 0.011798431165516376, 0.010790429078042507, 0.010551816783845425, 0.010427199304103851, 0.010365072637796402, 0.010353801771998405, 0.009137972258031368, 0.008860177360475063, 0.008717537857592106, 0.007245196495205164, 0.005494970362633467, 0.004572540521621704, 0.0033134359400719404, 0.003245709231123328, 0.0025171125307679176, 0.0024701713118702173, 0.002088970737531781, 0.0018793141935020685, 0.0017824661917984486, 0.001638546003960073, 0.001487887930124998, 0.0013463550712913275, 0.0012775709619745612, 0.0012441903818398714, 0.0011188590433448553, 0.0010267135221511126, 0.0009822124848142266, 0.0009087088983505964, 0.0008204850018955767, 0.0007677208632230759, 0.0007227519527077675, 0.000710692023858428, 0.0006485525518655777, 0.0006305576534941792, 0.0005771584692411125]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,1x8x3095x64,float16,3169280,64,24760,46,53,62,0.0769859254360199,0.22741174697875977,"[0.0769859254360199, 0.06194579601287842, 0.04613408073782921, 0.042345937341451645, 0.041022397577762604, 0.0369623638689518, 0.03517143800854683, 0.033832158893346786, 0.030867936089634895, 0.026742879301309586, 0.023215748369693756, 0.021984169259667397, 0.021353023126721382, 0.020559895783662796, 0.019798487424850464, 0.019340690225362778, 0.017890704795718193, 0.017520850524306297, 0.017204536125063896, 0.016553007066249847, 0.0162055641412735, 0.015125827863812447, 0.01454228162765503, 0.013748648576438427, 0.013345197774469852, 0.012664584442973137, 0.012595637701451778, 0.012149067595601082, 0.011885707266628742, 0.011419710703194141, 0.010824112221598625, 0.010630665346980095, 0.01041658315807581, 0.01029170211404562, 0.010084455832839012, 0.009696604683995247, 0.009522367268800735, 0.00928911566734314, 0.008751280605793, 0.008526022545993328, 0.008190257474780083, 0.008039116859436035, 0.007960036396980286, 0.007558699231594801, 0.00748077966272831, 0.007435393054038286, 0.007089733146131039, 0.0068802377209067345, 0.006548396777361631, 0.0062383669428527355, 0.0061181397177278996, 0.005868393927812576, 0.005621591582894325, 0.0055578541941940784, 0.00545138493180275, 0.005093154031783342, 0.0049459063448011875, 0.004750958643853664, 0.004587376955896616, 0.004336650017648935, 0.004057379439473152, 0.003954081330448389, 0.0037458641454577446, 0.0033431313931941986]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,1x8x3095x64,float16,3169280,64,24760,35,42,55,0.13522212207317352,0.44510963559150696,"[0.13522212207317352, 0.12253792583942413, 0.10234015434980392, 0.08500942587852478, 0.03175383061170578, 0.023656316101551056, 0.018068216741085052, 0.017983989790081978, 0.017398955300450325, 0.016492832452058792, 0.01638653129339218, 0.016141176223754883, 0.016055993735790253, 0.01568995602428913, 0.01563398726284504, 0.01530110090970993, 0.015082629397511482, 0.01436183974146843, 0.014320154674351215, 0.013676765374839306, 0.013658387586474419, 0.013548729009926319, 0.01349406223744154, 0.013151121325790882, 0.012923229485750198, 0.012469136156141758, 0.012454096227884293, 0.012442244216799736, 0.012127140536904335, 0.011723848059773445, 0.011605562642216682, 0.010495519265532494, 0.010297613218426704, 0.010296816006302834, 0.009950143285095692, 0.009940152056515217, 0.00821691658347845, 0.008191831409931183, 0.007388104684650898, 0.006491797044873238, 0.005924399476498365, 0.005220904480665922, 0.004431697074323893, 0.0038638433907181025, 0.0034876263234764338, 0.003292412729933858, 0.002970458008348942, 0.002810245379805565, 0.002468543592840433, 0.002272174460813403, 0.0021552215330302715, 0.002057124860584736, 0.0018007959006354213, 0.0017948822351172566, 0.001609402010217309, 0.0015544048510491848, 0.0013481932692229748, 0.001235164818353951, 0.0011101894779130816, 0.001106822513975203, 0.0010123621905222535, 0.000998165924102068, 0.000813211256172508, 0.0006813779473304749]"
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,1x8x3095x64,float16,3169280,64,24760,43,52,61,0.09358174353837967,0.2669205367565155,"[0.09358174353837967, 0.06589241325855255, 0.05575929209589958, 0.051687080413103104, 0.046538736671209335, 0.041836682707071304, 0.03362749516963959, 0.03111238405108452, 0.027919666841626167, 0.027562731876969337, 0.02612955868244171, 0.02444326877593994, 0.022392617538571358, 0.02065332792699337, 0.01910519227385521, 0.018463848158717155, 0.01690167747437954, 0.016388827934861183, 0.015166961587965488, 0.014536970295011997, 0.014080183580517769, 0.013841451145708561, 0.01369633898139, 0.013057468459010124, 0.012419085949659348, 0.012143632397055626, 0.011978466995060444, 0.011395130306482315, 0.010722635313868523, 0.01029139943420887, 0.010201680473983288, 0.009871438145637512, 0.009478575550019741, 0.009173981845378876, 0.008639408275485039, 0.008622167631983757, 0.0082413824275136, 0.007880236953496933, 0.007454936858266592, 0.007421974558383226, 0.006992114707827568, 0.006834652740508318, 0.00679420679807663, 0.006538187153637409, 0.006195372436195612, 0.006027215626090765, 0.005871824454516172, 0.005616252310574055, 0.005509949289262295, 0.005438437685370445, 0.00523498235270381, 0.004937150049954653, 0.004800244700163603, 0.004711912013590336, 0.004470518324524164, 0.004356660880148411, 0.004242901224642992, 0.004086862783879042, 0.0038751373067498207, 0.0037756310775876045, 0.0036056276876479387, 0.003474694211035967, 0.0033423067070543766, 0.0029551058541983366]"
