sample_dir,prompt_label,prompt_tokens,layer,kind,rank,token_index,energy
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,1,1080,2.1789133548736572
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,2,1139,2.1788930892944336
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,3,1128,2.1788926124572754
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,4,1125,2.178884506225586
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,5,1077,2.178877592086792
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,6,1029,2.178865432739258
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,7,2472,2.1788604259490967
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,8,696,2.1788570880889893
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,9,1043,2.17885684967041
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,key,10,1907,2.1788551807403564
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,1,1,0.10593005269765854
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,2,1777,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,3,1681,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,4,817,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,5,2689,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,6,529,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,7,2161,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,8,2977,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,9,1345,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,0,value,10,1873,0.10345479846000671
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,1,3073,2.798659324645996
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,2,2977,2.797940731048584
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,3,3025,2.7969167232513428
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,4,2929,2.7968709468841553
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,5,2833,2.7951881885528564
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,6,2881,2.7946856021881104
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,7,2737,2.7939183712005615
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,8,2785,2.7936158180236816
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,9,2641,2.7933366298675537
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,key,10,2689,2.7927815914154053
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,1,212,0.21458151936531067
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,2,164,0.21453221142292023
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,3,116,0.21450084447860718
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,4,308,0.21440166234970093
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,5,260,0.21437063813209534
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,6,356,0.21431277692317963
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,7,452,0.21420371532440186
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,8,500,0.2142004370689392
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,9,548,0.21419301629066467
data/cache_samples/long_3095tok_20260427_233303,long,3095,1,value,10,404,0.2141871154308319
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,1,3026,2.8922231197357178
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,2,2882,2.890040159225464
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,3,2306,2.887373685836792
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,4,2210,2.8865950107574463
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,5,2498,2.8853466510772705
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,6,2978,2.8851101398468018
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,7,2738,2.884016513824463
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,8,2786,2.8802053928375244
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,9,2642,2.8794238567352295
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,key,10,2354,2.8777551651000977
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,value,1,80,0.2667168974876404
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,value,2,55,0.26481565833091736
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,value,3,32,0.2636675238609314
data/cache_samples/long_3095tok_20260427_233303,long,3095,2,value,4,224,0.26333144307136536
