target_regime,prompt_tokens,action_name,retention,kv_bits,estimated_kv_cache_mb,memory_saved_percent,quality_loss_prior,backend_status,budget_feasible,feasible_set,collapse_reason
under_saturated,3072,full_16,1.0,16,96.0,0.0,0.0,real,True,mlx_feasible,
under_saturated,3072,full_8,1.0,8,50.976,46.9,0.0,real,True,mlx_feasible,
under_saturated,3072,r50_b16,0.5,16,48.0,50.0,0.4375,real,True,mlx_feasible,
under_saturated,3072,r75_b8,0.75,8,38.232,60.175,0.15,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
under_saturated,3072,r50_b8,0.5,8,25.488,73.45,0.4375,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
under_saturated,3072,r50_b4,0.5,4,12.744,86.725,0.5625,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
under_saturated,3072,r30_b4,0.3,4,7.646,92.035,0.9375,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
saturation,3072,full_16,1.0,16,96.0,0.0,0.0,real,False,theoretical_only,estimated KV 96.00 MB exceeds budget 49.44 MB
saturation,3072,full_8,1.0,8,50.976,46.9,0.0,real,False,theoretical_only,estimated KV 50.98 MB exceeds budget 49.44 MB
saturation,3072,r50_b16,0.5,16,48.0,50.0,0.4375,real,True,mlx_feasible,
saturation,3072,r75_b8,0.75,8,38.232,60.175,0.15,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
saturation,3072,r50_b8,0.5,8,25.488,73.45,0.4375,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
saturation,3072,r50_b4,0.5,4,12.744,86.725,0.5625,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
saturation,3072,r30_b4,0.3,4,7.646,92.035,0.9375,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
contention,3072,full_16,1.0,16,96.0,0.0,0.0,real,False,theoretical_only,estimated KV 96.00 MB exceeds budget 49.44 MB
contention,3072,full_8,1.0,8,50.976,46.9,0.0,real,False,theoretical_only,estimated KV 50.98 MB exceeds budget 49.44 MB
contention,3072,r50_b16,0.5,16,48.0,50.0,0.4375,real,True,mlx_feasible,
contention,3072,r75_b8,0.75,8,38.232,60.175,0.15,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
contention,3072,r50_b8,0.5,8,25.488,73.45,0.4375,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
contention,3072,r50_b4,0.5,4,12.744,86.725,0.5625,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
contention,3072,r30_b4,0.3,4,7.646,92.035,0.9375,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
under_saturated,10000,full_16,1.0,16,312.5,0.0,0.0,real,True,mlx_feasible,
under_saturated,10000,full_8,1.0,8,165.938,46.9,0.0,real,True,mlx_feasible,
under_saturated,10000,r50_b16,0.5,16,156.25,50.0,0.4375,real,True,mlx_feasible,
under_saturated,10000,r75_b8,0.75,8,124.453,60.175,0.15,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
under_saturated,10000,r50_b8,0.5,8,82.969,73.45,0.4375,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
under_saturated,10000,r50_b4,0.5,4,41.484,86.725,0.5625,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
under_saturated,10000,r30_b4,0.3,4,24.891,92.035,0.9375,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
saturation,10000,full_16,1.0,16,312.5,0.0,0.0,real,False,theoretical_only,estimated KV 312.50 MB exceeds budget 160.94 MB
saturation,10000,full_8,1.0,8,165.938,46.9,0.0,real,False,theoretical_only,estimated KV 165.94 MB exceeds budget 160.94 MB
saturation,10000,r50_b16,0.5,16,156.25,50.0,0.4375,real,True,mlx_feasible,
saturation,10000,r75_b8,0.75,8,124.453,60.175,0.15,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
saturation,10000,r50_b8,0.5,8,82.969,73.45,0.4375,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
saturation,10000,r50_b4,0.5,4,41.484,86.725,0.5625,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
saturation,10000,r30_b4,0.3,4,24.891,92.035,0.9375,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
contention,10000,full_16,1.0,16,312.5,0.0,0.0,real,False,theoretical_only,estimated KV 312.50 MB exceeds budget 160.94 MB
contention,10000,full_8,1.0,8,165.938,46.9,0.0,real,False,theoretical_only,estimated KV 165.94 MB exceeds budget 160.94 MB
contention,10000,r50_b16,0.5,16,156.25,50.0,0.4375,real,True,mlx_feasible,
contention,10000,r75_b8,0.75,8,124.453,60.175,0.15,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
contention,10000,r50_b8,0.5,8,82.969,73.45,0.4375,infeasible,True,theoretical_only,RotatingKVCache quantization NYI
contention,10000,r50_b4,0.5,4,41.484,86.725,0.5625,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
contention,10000,r30_b4,0.3,4,24.891,92.035,0.9375,infeasible,True,theoretical_only,kv_bits=4 not supported by backend
