scenario,regime,prompt_tokens,case_id,position,repeat_index,ideal_policy,ideal_retention,ideal_score,ideal_status,executable_policy,executable_retention,executable_score,executable_status,lost_intelligence,ideal_memory_saved_percent,executable_memory_saved_percent,collapse_reason
needle,under_saturated,3072,needle-sink,sink,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
needle,under_saturated,3072,needle-early,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
needle,under_saturated,3072,needle-middle,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
needle,under_saturated,3072,needle-late,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-001,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-002,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-003,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-004,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-005,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-006,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-007,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-008,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-009,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-010,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-011,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-012,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-013,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-014,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-015,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-016,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-017,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-018,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-019,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-020,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-021,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-022,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-023,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
document_qa,under_saturated,3072,docqa-024,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
long_context,under_saturated,3072,long_context-late,late,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
multi_turn,under_saturated,3072,multi_turn-early,early,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
multi_turn,under_saturated,3072,multi_turn-middle,middle,1,ideal_full_8,1.0,1.0,theoretical_only,full_8,1.0,1.0,real,0.0,46.9,46.9,theoretical dynamic upper bound
