selected_action,retention_ratio,kv_bits,position,execution_mode,runs,retrieval_success_rate,avg_memory_saved_percent,avg_estimated_kv_cache_mb
r30_b16,0.3,16,early,proxy,6,0.0,70.0,61.275
r30_b4,0.3,4,early,proxy,6,0.0,92.035,16.268
r30_b16,0.3,16,late,proxy,6,1.0,70.0,61.275
r30_b4,0.3,4,late,proxy,6,0.0,92.035,16.268
r30_b16,0.3,16,middle,proxy,6,0.0,70.0,61.275
r30_b4,0.3,4,middle,proxy,6,0.0,92.035,16.268
r30_b16,0.3,16,sink,proxy,6,1.0,70.0,61.275
r30_b4,0.3,4,sink,proxy,6,0.0,92.035,16.268
r30_b16,0.3,16,very_late,proxy,6,1.0,70.0,61.275
r30_b4,0.3,4,very_late,proxy,6,0.0,92.035,16.268
r50_b16,0.5,16,early,proxy,6,0.0,50.0,102.125
r50_b8,0.5,8,early,proxy,6,0.0,73.45,54.228
r50_b16,0.5,16,late,proxy,6,1.0,50.0,102.125
r50_b8,0.5,8,late,proxy,6,1.0,73.45,54.228
r50_b16,0.5,16,middle,proxy,6,0.0,50.0,102.125
r50_b8,0.5,8,middle,proxy,6,0.0,73.45,54.228
r50_b16,0.5,16,sink,proxy,6,1.0,50.0,102.125
r50_b8,0.5,8,sink,proxy,6,1.0,73.45,54.228
r50_b16,0.5,16,very_late,proxy,6,1.0,50.0,102.125
r50_b8,0.5,8,very_late,proxy,6,1.0,73.45,54.228
r75_b16,0.75,16,early,proxy,6,0.0,25.0,153.188
r75_b8,0.75,8,early,proxy,6,0.0,60.175,81.342
r75_b16,0.75,16,late,proxy,6,1.0,25.0,153.188
r75_b8,0.75,8,late,proxy,6,1.0,60.175,81.342
r75_b16,0.75,16,middle,proxy,6,1.0,25.0,153.188
r75_b8,0.75,8,middle,proxy,6,1.0,60.175,81.342
r75_b16,0.75,16,sink,proxy,6,1.0,25.0,153.188
r75_b8,0.75,8,sink,proxy,6,1.0,60.175,81.342
r75_b16,0.75,16,very_late,proxy,6,1.0,25.0,153.188
r75_b8,0.75,8,very_late,proxy,6,1.0,60.175,81.342
full_16,1.0,16,early,proxy,6,1.0,0.0,204.25
full_8,1.0,8,early,proxy,6,1.0,46.9,108.457
full_16,1.0,16,late,proxy,6,1.0,0.0,204.25
full_8,1.0,8,late,proxy,6,1.0,46.9,108.457
full_16,1.0,16,middle,proxy,6,1.0,0.0,204.25
full_8,1.0,8,middle,proxy,6,1.0,46.9,108.457
full_16,1.0,16,sink,proxy,6,1.0,0.0,204.25
full_8,1.0,8,sink,proxy,6,1.0,46.9,108.457
full_16,1.0,16,very_late,proxy,6,1.0,0.0,204.25
full_8,1.0,8,very_late,proxy,6,1.0,46.9,108.457
